id,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,Group,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Entire home/apt,room_type_Private room,room_type_Shared room
9782,Brooklyn,40.722190000000005,-73.93762,Private room,55,4,197,1.65,3,284,2,0,1,0,0,0,0,1,0
9783,Manhattan,40.8213,-73.95318,Private room,50,3,273,2.37,3,359,2,0,0,1,0,0,0,1,0
10452,Brooklyn,40.6831,-73.95473,Private room,70,1,74,0.66,2,269,2,0,1,0,0,0,0,1,0
10962,Brooklyn,40.668690000000005,-73.9878,Private room,89,4,168,1.41,3,340,2,0,1,0,0,0,0,1,0
11708,Brooklyn,40.701859999999996,-73.92745,Entire home/apt,85,2,231,1.96,2,22,5,0,1,0,0,0,1,0,0
12048,Manhattan,40.714009999999995,-73.98917,Shared room,40,1,214,1.81,4,188,1,0,0,1,0,0,0,0,1
12192,Manhattan,40.7229,-73.98199,Private room,68,2,245,2.08,2,96,1,0,0,1,0,0,0,1,0
12299,Brooklyn,40.66278,-73.97966,Entire home/apt,120,3,15,0.39,1,345,2,0,1,0,0,0,1,0,0
12303,Brooklyn,40.69673,-73.97584,Private room,120,7,25,0.23,1,311,2,0,1,0,0,0,0,1,0
12318,Manhattan,40.79009,-73.97927,Private room,135,4,81,0.69,1,273,2,0,0,1,0,0,0,1,0
12343,Manhattan,40.81175,-73.94478000000001,Entire home/apt,150,7,97,0.84,1,309,2,0,0,1,0,0,1,0,0
12627,Brooklyn,40.659440000000004,-73.96238000000001,Entire home/apt,150,29,11,0.49,1,95,5,0,1,0,0,0,1,0,0
12937,Queens,40.74771,-73.9474,Private room,130,3,248,2.25,1,215,2,0,0,0,1,0,0,1,0
12940,Brooklyn,40.68111,-73.95591,Entire home/apt,110,7,61,0.52,1,265,2,0,1,0,0,0,1,0,0
13050,Brooklyn,40.68554,-73.9409,Entire home/apt,115,3,11,0.1,1,0,5,0,1,0,0,0,1,0,0
13394,Brooklyn,40.69142,-73.97376,Private room,80,3,135,1.16,2,192,1,0,1,0,0,0,0,1,0
13808,Brooklyn,40.68043,-73.93934,Private room,80,1,112,1.01,3,251,2,0,1,0,0,0,0,1,0
14287,Manhattan,40.78635,-73.97008000000001,Entire home/apt,151,2,73,0.63,1,302,2,0,0,1,0,0,1,0,0
14290,Brooklyn,40.7042,-73.9356,Entire home/apt,228,3,82,0.7,1,140,5,0,1,0,0,0,1,0,0
14314,Brooklyn,40.73506,-73.95392,Entire home/apt,144,2,328,2.82,1,234,2,0,1,0,0,0,1,0,0
14322,Manhattan,40.73961,-73.98074,Entire home/apt,200,7,19,0.22,1,257,2,0,0,1,0,0,1,0,0
14377,Brooklyn,40.70881,-73.9593,Entire home/apt,150,30,105,0.9,1,30,5,0,1,0,0,0,1,0,0
14991,Manhattan,40.720040000000004,-73.99104,Private room,110,5,19,0.17,1,301,2,0,0,1,0,0,0,1,0
15220,Manhattan,40.755309999999994,-73.99293,Private room,69,2,289,2.49,2,294,2,0,0,1,0,0,0,1,0
15338,Brooklyn,40.72401,-73.93788,Private room,49,4,138,1.19,3,320,2,0,1,0,0,0,0,1,0
15341,Manhattan,40.7221,-73.99775,Entire home/apt,180,30,21,0.3,1,154,5,0,0,1,0,0,1,0,0
15385,Brooklyn,40.71185,-73.96204,Private room,80,2,42,0.38,1,263,2,0,1,0,0,0,0,1,0
15396,Manhattan,40.74623,-73.9953,Entire home/apt,375,180,5,0.12,1,180,5,0,0,1,0,0,1,0,0
15711,Manhattan,40.77065,-73.95269,Entire home/apt,250,2,66,0.57,2,231,2,0,0,1,0,0,1,0,0
16326,Brooklyn,40.67811,-73.96428,Entire home/apt,200,30,143,1.33,2,297,2,0,1,0,0,0,1,0,0
16338,Brooklyn,40.69,-73.96788000000001,Private room,55,7,27,0.23,2,292,2,0,1,0,0,0,0,1,0
16421,Manhattan,40.75979,-73.99119,Private room,52,30,191,1.65,1,191,1,0,0,1,0,0,0,1,0
16458,Brooklyn,40.673429999999996,-73.98338000000001,Entire home/apt,225,3,4,0.16,1,0,5,0,1,0,0,0,1,0,0
16580,Manhattan,40.726490000000005,-73.97904,Private room,80,1,338,4.72,2,72,3,0,0,1,0,0,0,1,0
16595,Brooklyn,40.70933,-73.96791999999999,Entire home/apt,275,1,148,1.4,1,362,2,0,1,0,0,0,1,0,0
16821,Manhattan,40.72298,-73.98474,Private room,99,1,106,1.26,2,336,2,0,0,1,0,0,0,1,0
16974,Manhattan,40.80164,-73.93921999999999,Entire home/apt,225,4,190,1.64,1,215,2,0,0,1,0,0,1,0,0
17037,Manhattan,40.72162,-73.98008,Entire home/apt,230,9,49,0.43,1,116,5,0,0,1,0,0,1,0,0
17092,Manhattan,40.76342,-73.98865,Private room,51,7,23,0.43,1,88,1,0,0,1,0,0,0,1,0
17693,Manhattan,40.83139,-73.94095,Private room,65,2,49,1.6,2,336,2,0,0,1,0,0,0,1,0
17747,Brooklyn,40.68346,-73.96374,Private room,105,2,105,0.92,1,304,2,0,1,0,0,0,0,1,0
18127,Manhattan,40.72828,-73.98801,Entire home/apt,190,5,21,0.2,1,224,2,0,0,1,0,0,1,0,0
18152,Manhattan,40.76865,-73.95058,Private room,200,1,142,1.5,1,322,2,0,0,1,0,0,0,1,0
18198,Queens,40.75038,-73.90334,Private room,70,30,25,0.22,1,324,2,0,0,0,1,0,0,1,0
18590,Brooklyn,40.6932,-73.97267,Private room,95,3,143,1.28,1,132,1,0,1,0,0,0,0,1,0
18728,Manhattan,40.74138,-74.00197,Private room,150,3,167,1.65,1,295,2,0,0,1,0,0,0,1,0
18764,Brooklyn,40.71154,-73.96112,Private room,145,3,61,0.54,4,238,2,0,1,0,0,0,0,1,0
19159,Manhattan,40.82915,-73.95136,Entire home/apt,110,31,54,0.49,1,209,2,0,0,1,0,0,1,0,0
19169,Manhattan,40.718509999999995,-73.98892,Entire home/apt,285,5,70,0.62,1,328,2,0,0,1,0,0,1,0,0
19282,Brooklyn,40.65401,-73.96323000000001,Entire home/apt,130,6,16,0.15,1,38,5,0,1,0,0,0,1,0,0
19319,Manhattan,40.7114,-73.98794000000001,Private room,94,30,94,0.84,1,188,1,0,0,1,0,0,0,1,0
19601,Brooklyn,40.69723,-73.99268000000001,Entire home/apt,800,1,25,0.24,1,7,5,0,1,0,0,0,1,0,0
19812,Brooklyn,40.71833,-73.95748,Entire home/apt,105,3,61,0.53,1,272,2,0,1,0,0,0,1,0,0
20299,Manhattan,40.72334,-73.9844,Private room,60,3,194,1.73,1,26,1,0,0,1,0,0,0,1,0
20300,Manhattan,40.72912,-73.98057,Private room,50,1,2,0.05,1,0,1,0,0,1,0,0,0,1,0
20611,Brooklyn,40.71156,-73.96218,Private room,85,3,174,1.54,4,288,2,0,1,0,0,0,0,1,0
20724,Brooklyn,40.70032,-73.9383,Private room,65,4,24,0.28,1,317,2,0,1,0,0,0,0,1,0
20734,Brooklyn,40.68233,-73.97261,Entire home/apt,131,4,166,3.4,1,207,3,0,1,0,0,0,1,0,0
20755,Brooklyn,40.68634,-73.96600000000001,Private room,98,7,16,0.2,6,185,1,0,1,0,0,0,0,1,0
20853,Brooklyn,40.68035,-73.97162,Entire home/apt,250,7,21,0.3,1,158,5,0,1,0,0,0,1,0,0
20913,Brooklyn,40.70984,-73.95775,Entire home/apt,100,5,168,1.57,1,0,5,0,1,0,0,0,1,0,0
21293,Brooklyn,40.70093,-73.92609,Entire home/apt,105,3,118,1.05,2,9,5,0,1,0,0,0,1,0,0
21456,Manhattan,40.79764,-73.96177,Entire home/apt,140,3,81,0.71,1,198,5,0,0,1,0,0,1,0,0
21644,Manhattan,40.82803,-73.94731,Private room,89,1,1,0.11,1,365,2,0,0,1,0,0,0,1,0
21794,Manhattan,40.74008,-74.00271,Private room,98,30,30,0.27,2,364,2,0,0,1,0,0,0,1,0
22911,Brooklyn,40.684129999999996,-73.92357,Entire home/apt,125,7,139,1.23,2,311,2,0,1,0,0,0,1,0,0
22918,Manhattan,40.822790000000005,-73.95139,Private room,60,3,11,0.87,3,219,2,0,0,1,0,0,0,1,0
23135,Brooklyn,40.67967,-74.00154,Entire home/apt,175,2,233,2.09,3,342,2,0,1,0,0,0,1,0,0
23501,Manhattan,40.83927,-73.94281,Private room,65,2,68,0.6,1,312,2,0,0,1,0,0,0,1,0
23686,Manhattan,40.730959999999996,-74.00319,Entire home/apt,500,4,46,0.55,2,243,2,0,0,1,0,0,1,0,0
24143,Brooklyn,40.71332,-73.94176999999999,Private room,101,3,335,3.02,1,152,3,0,1,0,0,0,0,1,0
24285,Brooklyn,40.66941,-73.98109000000001,Entire home/apt,220,30,88,0.79,1,9,5,0,1,0,0,0,1,0,0
25235,Brooklyn,40.68373,-73.92376999999999,Entire home/apt,125,90,162,1.46,2,137,5,0,1,0,0,0,1,0,0
25406,Brooklyn,40.71459,-73.94844,Entire home/apt,80,30,29,0.4,1,222,2,0,1,0,0,0,1,0,0
25696,Manhattan,40.8092,-73.94421,Private room,100,2,170,1.61,1,346,2,0,0,1,0,0,0,1,0
26012,Brooklyn,40.68157,-73.98989,Entire home/apt,200,30,19,0.2,1,208,5,0,1,0,0,0,1,0,0
26362,Manhattan,40.75527,-73.99291,Private room,59,2,334,3.0,2,279,2,0,0,1,0,0,0,1,0
26520,Brooklyn,40.68698,-73.96571999999999,Private room,125,2,19,0.2,6,250,2,0,1,0,0,0,0,1,0
26559,Manhattan,40.7288,-73.98192,Entire home/apt,140,7,12,0.13,1,164,5,0,0,1,0,0,1,0,0
26785,Brooklyn,40.66853,-73.98912,Entire home/apt,120,30,467,4.22,2,192,3,0,1,0,0,0,1,0,0
26933,Manhattan,40.7254,-73.98156999999999,Entire home/apt,350,2,7,0.06,4,298,2,0,0,1,0,0,1,0,0
26954,Manhattan,40.742940000000004,-73.98009,Entire home/apt,199,5,38,0.38,1,260,2,0,0,1,0,0,1,0,0
26969,Brooklyn,40.71942,-73.95748,Entire home/apt,325,3,324,3.01,1,107,5,0,1,0,0,0,1,0,0
27006,Manhattan,40.77823,-73.97636999999999,Entire home/apt,235,6,27,0.27,1,199,5,0,0,1,0,0,1,0,0
27385,Manhattan,40.72555,-73.97965,Entire home/apt,225,1,115,1.05,4,299,2,0,0,1,0,0,1,0,0
27531,Brooklyn,40.66831,-73.98604,Private room,99,2,354,3.2,3,20,1,0,1,0,0,0,0,1,0
27644,Manhattan,40.82754,-73.94919,Entire home/apt,170,2,195,2.03,1,318,2,0,0,1,0,0,1,0,0
27659,Brooklyn,40.66499,-73.97925,Entire home/apt,400,2,16,0.24,2,216,2,0,1,0,0,0,1,0,0
27759,Manhattan,40.778420000000004,-73.97556,Entire home/apt,170,7,13,0.12,1,224,2,0,0,1,0,0,1,0,0
27883,Manhattan,40.72245,-73.98527,Entire home/apt,100,4,25,0.23,1,0,5,0,0,1,0,0,1,0,0
28321,Brooklyn,40.65593,-73.96053,Private room,75,2,9,0.08,1,324,2,0,1,0,0,0,0,1,0
28396,Brooklyn,40.719229999999996,-73.96468,Private room,90,1,9,0.08,1,245,2,0,1,0,0,0,0,1,0
28907,Manhattan,40.778,-73.94821999999999,Entire home/apt,150,5,21,0.19,1,189,5,0,0,1,0,0,1,0,0
29012,Manhattan,40.85879,-73.93128,Private room,85,15,36,0.33,1,307,2,0,0,1,0,0,0,1,0
29013,Brooklyn,40.68332,-73.9547,Private room,70,3,63,0.58,2,310,2,0,1,0,0,0,0,1,0
29455,Manhattan,40.816179999999996,-73.94894000000001,Entire home/apt,120,3,155,1.42,3,213,2,0,0,1,0,0,1,0,0
29628,Brooklyn,40.68414,-73.96351,Private room,89,3,260,2.35,1,278,2,0,1,0,0,0,0,1,0
29683,Manhattan,40.72392,-73.99143000000001,Entire home/apt,185,5,73,0.66,1,209,2,0,0,1,0,0,1,0,0
30031,Brooklyn,40.73494,-73.9503,Private room,50,3,193,1.86,1,0,1,0,1,0,0,0,0,1,0
30927,Manhattan,40.713409999999996,-73.98855999999999,Entire home/apt,105,3,32,0.29,1,16,5,0,0,1,0,0,1,0,0
31130,Manhattan,40.767540000000004,-73.98399,Private room,130,2,50,0.45,3,234,2,0,0,1,0,0,0,1,0
31555,Manhattan,40.73442,-74.00303000000001,Entire home/apt,115,29,26,0.25,1,12,5,0,0,1,0,0,1,0,0
31902,Brooklyn,40.631879999999995,-73.93248,Private room,77,2,2,0.02,1,178,1,0,1,0,0,0,0,1,0
31994,Brooklyn,40.6873,-73.9634,Private room,76,2,426,3.89,3,275,3,0,1,0,0,0,0,1,0
32023,Brooklyn,40.682959999999994,-73.93661999999999,Entire home/apt,125,3,227,2.09,2,163,5,0,1,0,0,0,1,0,0
32037,Brooklyn,40.6863,-73.96765,Private room,135,4,84,0.77,3,365,2,0,1,0,0,0,0,1,0
32100,Brooklyn,40.73409,-73.95348,Entire home/apt,250,29,3,0.03,1,34,5,0,1,0,0,0,1,0,0
32289,Brooklyn,40.71561,-73.94835,Entire home/apt,199,3,10,0.1,1,280,2,0,1,0,0,0,1,0,0
32331,Brooklyn,40.6857,-73.99183000000001,Entire home/apt,140,2,4,0.04,1,0,5,0,1,0,0,0,1,0,0
32363,Queens,40.74028,-73.83168,Private room,140,2,1,0.01,1,1,1,0,0,0,1,0,0,1,0
32965,Brooklyn,40.682809999999996,-73.93524000000001,Entire home/apt,115,3,124,1.72,2,170,5,0,1,0,0,0,1,0,0
32969,Brooklyn,40.715959999999995,-73.93938,Entire home/apt,160,3,11,0.11,1,188,5,0,1,0,0,0,1,0,0
33009,Brooklyn,40.71492,-73.95935,Entire home/apt,195,4,240,2.19,1,214,2,0,1,0,0,0,1,0,0
33014,Manhattan,40.72354,-73.98295,Entire home/apt,195,3,30,0.28,1,248,2,0,0,1,0,0,1,0,0
33223,Brooklyn,40.71165,-73.96087,Private room,80,3,200,1.86,4,262,2,0,1,0,0,0,0,1,0
34760,Brooklyn,40.69101,-73.97312,Private room,44,8,27,1.05,5,280,2,0,1,0,0,0,0,1,0
35526,Manhattan,40.73474,-74.00101,Private room,156,4,79,0.74,1,307,2,0,0,1,0,0,0,1,0
36121,Brooklyn,40.67386,-73.96641,Private room,85,15,9,0.09,1,339,2,0,1,0,0,0,0,1,0
36133,Brooklyn,40.71536,-73.96056999999999,Private room,125,3,155,1.61,1,1,1,0,1,0,0,0,0,1,0
36442,Brooklyn,40.6741,-73.96595,Entire home/apt,115,15,4,0.05,1,269,2,0,1,0,0,0,1,0,0
36647,Manhattan,40.79295,-73.93997,Private room,69,2,34,0.32,1,10,1,0,0,1,0,0,0,1,0
36703,Manhattan,40.73226,-74.00401,Entire home/apt,225,45,134,1.24,1,312,2,0,0,1,0,0,1,0,0
36934,Brooklyn,40.71363,-73.96398,Entire home/apt,125,6,27,0.25,1,189,5,0,1,0,0,0,1,0,0
38638,Manhattan,40.77711,-73.9527,Entire home/apt,219,4,126,1.16,2,290,2,0,0,1,0,0,1,0,0
38663,Brooklyn,40.685590000000005,-73.98094,Entire home/apt,475,3,23,0.27,1,230,2,0,1,0,0,0,1,0,0
39267,Manhattan,40.77456,-73.95323,Entire home/apt,99,1,234,2.6,2,164,5,0,0,1,0,0,1,0,0
39282,Brooklyn,40.710879999999996,-73.95055,Private room,69,4,202,1.86,2,53,1,0,1,0,0,0,0,1,0
39593,Queens,40.74559,-73.92313,Private room,79,30,28,0.26,1,126,1,0,0,0,1,0,0,1,0
39704,Brooklyn,40.68306,-73.94659,Entire home/apt,135,2,309,2.86,2,3,5,0,1,0,0,0,1,0,0
40039,Brooklyn,40.70207,-73.98571,Private room,250,3,14,0.13,1,189,1,0,1,0,0,0,0,1,0
40453,Manhattan,40.76123,-73.9642,Entire home/apt,250,3,4,0.08,1,365,2,0,0,1,0,0,1,0,0
41348,Brooklyn,40.66858,-73.99083,Entire home/apt,250,2,80,2.17,1,0,5,0,1,0,0,0,1,0,0
41513,Manhattan,40.827040000000004,-73.94906999999999,Entire home/apt,80,3,2,0.04,1,0,5,0,0,1,0,0,1,0,0
42580,Brooklyn,40.68843,-73.96408000000001,Private room,70,2,294,3.47,3,336,2,0,1,0,0,0,0,1,0
42729,Brooklyn,40.6783,-74.00135,Entire home/apt,165,2,150,1.4,3,342,2,0,1,0,0,0,1,0,0
42882,Staten Island,40.64524,-74.08088000000001,Private room,70,2,166,1.66,1,312,2,0,0,0,0,1,0,1,0
43957,Brooklyn,40.70641,-73.91765,Private room,50,2,47,0.94,1,37,1,0,1,0,0,0,0,1,0
44096,Bronx,40.83232,-73.93184000000001,Private room,40,1,219,2.04,3,353,2,1,0,0,0,0,0,1,0
44161,Brooklyn,40.71045,-73.9677,Entire home/apt,150,2,193,1.78,1,177,5,0,1,0,0,0,1,0,0
44212,Manhattan,40.72518,-73.98034,Private room,125,1,84,0.78,4,310,2,0,0,1,0,0,0,1,0
44221,Manhattan,40.70666,-74.01374,Entire home/apt,196,3,114,1.06,1,0,5,0,0,1,0,0,1,0,0
44229,Brooklyn,40.690979999999996,-73.97113,Private room,110,2,213,2.0,2,321,2,0,1,0,0,0,0,1,0
44288,Manhattan,40.737559999999995,-74.00405,Entire home/apt,170,3,86,0.8,1,246,2,0,0,1,0,0,1,0,0
44506,Manhattan,40.815259999999995,-73.94791,Entire home/apt,165,3,80,0.75,3,231,2,0,0,1,0,0,1,0,0
45393,Manhattan,40.73423,-74.0046,Entire home/apt,150,26,38,0.36,1,225,2,0,0,1,0,0,1,0,0
45542,Manhattan,40.82374,-73.9373,Entire home/apt,100,2,18,1.79,1,0,5,0,0,1,0,0,1,0,0
45556,Brooklyn,40.688629999999996,-73.97691,Private room,65,2,206,1.92,2,0,1,0,1,0,0,0,0,1,0
45910,Queens,40.70382,-73.89797,Entire home/apt,350,8,10,0.11,5,365,2,0,0,0,1,0,1,0,0
45936,Manhattan,40.80549,-73.95924000000001,Private room,99,4,122,1.18,2,233,2,0,0,1,0,0,0,1,0
45940,Brooklyn,40.71627,-73.9587,Entire home/apt,200,4,33,0.58,1,1,5,0,1,0,0,0,1,0,0
46544,Brooklyn,40.67994,-73.97863000000001,Entire home/apt,150,5,52,0.5,1,18,5,0,1,0,0,0,1,0,0
46723,Brooklyn,40.67992,-73.9475,Private room,90,3,126,1.17,4,343,2,0,1,0,0,0,0,1,0
46911,Brooklyn,40.67868,-73.97306999999999,Private room,120,3,51,0.48,3,250,2,0,1,0,0,0,0,1,0
47199,Manhattan,40.76834,-73.95334,Private room,75,3,199,1.85,1,326,2,0,0,1,0,0,0,1,0
47362,Brooklyn,40.68237,-73.9415,Entire home/apt,175,26,30,0.29,1,364,2,0,1,0,0,0,1,0,0
47370,Manhattan,40.74031,-73.99999,Entire home/apt,125,3,3,0.03,1,0,5,0,0,1,0,0,1,0,0
47926,Manhattan,40.76307,-73.99665,Entire home/apt,275,1,41,0.38,1,299,2,0,0,1,0,0,1,0,0
48719,Manhattan,40.71882,-73.98852,Entire home/apt,299,2,109,1.04,1,207,2,0,0,1,0,0,1,0,0
50447,Brooklyn,40.6693,-73.98804,Entire home/apt,135,5,151,1.43,3,162,5,0,1,0,0,0,1,0,0
51485,Manhattan,40.72319,-73.99201,Private room,83,1,285,2.69,1,7,1,0,0,1,0,0,0,1,0
51572,Manhattan,40.74859,-73.99671,Private room,123,1,375,3.52,1,328,2,0,0,1,0,0,0,1,0
51850,Queens,40.67252,-73.76597,Private room,55,2,52,0.49,2,365,2,0,0,0,1,0,0,1,0
53137,Manhattan,40.762440000000005,-73.99271,Entire home/apt,195,5,10,1.01,1,0,5,0,0,1,0,0,1,0,0
53196,Brooklyn,40.69546,-73.93503,Private room,80,2,11,0.48,1,0,1,0,1,0,0,0,0,1,0
53469,Queens,40.717220000000005,-73.87856,Entire home/apt,98,30,33,0.31,5,240,2,0,0,0,1,0,1,0,0
53470,Queens,40.70234,-73.89816,Private room,140,7,6,0.06,5,365,2,0,0,0,1,0,0,1,0
53477,Queens,40.71546,-73.87854,Entire home/apt,265,7,38,0.38,5,365,2,0,0,0,1,0,1,0,0
54158,Brooklyn,40.7195,-73.95976,Entire home/apt,249,2,358,3.44,2,164,3,0,1,0,0,0,1,0,0
54453,Manhattan,40.76548,-73.98474,Shared room,105,6,10,0.09,1,363,2,0,0,1,0,0,0,0,1
54508,Brooklyn,40.6787,-73.97261999999999,Private room,100,2,226,2.12,3,250,2,0,1,0,0,0,0,1,0
54544,Manhattan,40.81035,-73.94598,Entire home/apt,121,1,104,1.0,5,247,2,0,0,1,0,0,1,0,0
54626,Bronx,40.83075,-73.93058,Private room,45,1,138,1.45,3,323,2,1,0,0,0,0,0,1,0
54860,Manhattan,40.79958,-73.94275,Private room,100,5,204,1.92,1,192,1,0,0,1,0,0,0,1,0
55467,Brooklyn,40.71625,-73.93845,Entire home/apt,140,2,253,3.04,1,125,3,0,1,0,0,0,1,0,0
55498,Brooklyn,40.6829,-73.93549,Private room,71,2,23,0.22,1,91,1,0,1,0,0,0,0,1,0
55668,Manhattan,40.72773,-73.99134000000001,Private room,130,2,115,1.17,1,75,1,0,0,1,0,0,0,1,0
55737,Manhattan,40.728609999999996,-74.0049,Entire home/apt,199,5,129,1.22,1,286,2,0,0,1,0,0,1,0,0
55959,Brooklyn,40.709790000000005,-73.95161999999999,Private room,69,4,82,1.13,2,60,1,0,1,0,0,0,0,1,0
55982,Brooklyn,40.68656,-73.97525,Private room,68,3,37,0.35,1,0,1,0,1,0,0,0,0,1,0
56467,Manhattan,40.72752,-73.98432,Entire home/apt,130,1,204,2.04,1,192,2,0,0,1,0,0,1,0,0
56525,Brooklyn,40.729,-73.95829,Entire home/apt,195,2,69,0.65,1,58,5,0,1,0,0,0,1,0,0
56859,Manhattan,40.81219,-73.94499,Private room,64,1,192,1.84,5,245,2,0,0,1,0,0,0,1,0
57166,Queens,40.77185,-73.90502,Entire home/apt,140,2,17,0.16,1,292,2,0,0,0,1,0,1,0,0
57297,Brooklyn,40.68926,-73.99386,Entire home/apt,159,2,222,2.12,1,279,2,0,1,0,0,0,1,0,0
57468,Manhattan,40.72821,-73.98701,Entire home/apt,189,3,205,1.96,1,0,5,0,0,1,0,0,1,0,0
57618,Manhattan,40.7672,-73.98508000000001,Entire home/apt,250,3,94,0.96,1,3,5,0,0,1,0,0,1,0,0
57740,Manhattan,40.73012,-73.99053,Entire home/apt,239,3,7,0.07,1,351,2,0,0,1,0,0,1,0,0
57754,Manhattan,40.7403,-73.98498000000001,Entire home/apt,305,2,108,1.09,1,201,5,0,0,1,0,0,1,0,0
57874,Manhattan,40.809309999999996,-73.94343,Entire home/apt,155,3,222,2.1,2,232,2,0,0,1,0,0,1,0,0
58059,Manhattan,40.8251,-73.94287,Private room,60,1,458,4.58,2,258,3,0,0,1,0,0,0,1,0
58062,Brooklyn,40.6585,-73.98397,Private room,135,2,21,0.26,1,272,2,0,1,0,0,0,0,1,0
58467,Manhattan,40.76193,-73.9501,Private room,120,7,17,0.3,1,341,2,0,0,1,0,0,0,1,0
59014,Manhattan,40.72052,-73.98589,Entire home/apt,150,3,41,0.39,1,244,2,0,0,1,0,0,1,0,0
59121,Queens,40.70411,-73.89934000000001,Entire home/apt,140,14,1,0.01,5,365,2,0,0,0,1,0,1,0,0
59642,Brooklyn,40.73401,-73.95966999999999,Entire home/apt,135,2,69,0.67,1,12,5,0,1,0,0,0,1,0,0
59709,Manhattan,40.71756,-73.99503,Entire home/apt,250,4,18,0.18,2,265,2,0,0,1,0,0,1,0,0
59855,Manhattan,40.7589,-73.96991,Entire home/apt,250,30,82,0.78,1,0,5,0,0,1,0,0,1,0,0
60164,Manhattan,40.72003,-74.00262,Entire home/apt,500,4,94,0.99,1,329,2,0,0,1,0,0,1,0,0
60457,Manhattan,40.73194,-73.99474000000001,Entire home/apt,225,5,10,0.1,1,91,5,0,0,1,0,0,1,0,0
60611,Manhattan,40.79163,-73.94573000000001,Entire home/apt,125,28,183,1.83,2,365,2,0,0,1,0,0,1,0,0
